"simDir","species","averageMaxBiomassTarget","spAnppMultiplier","spBiomassMultiplier","maxBiomassMultiplier","spinupMortalityFraction"
"251","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.65,0.015
"252","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.65,0.015
"253","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.65,0.015
"254","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.65,0.015
"255","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.65,0.015
"256","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.65,0.015
"257","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.65,0.015
"258","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.65,0.015
"259","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.65,0.015
"260","ABIE.BAL",0.18,1,1,0.7,0.015
"261","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.7,0.015
"262","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.7,0.015
"263","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.7,0.015
"264","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.7,0.015
"265","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.7,0.015
"266","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.7,0.015
"267","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.7,0.015
"268","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.7,0.015
"269","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.7,0.015
"270","ABIE.BAL",0.18,1,1,0.75,0.015
"271","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.75,0.015
"272","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.75,0.015
"273","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.75,0.015
"274","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.75,0.015
"275","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.75,0.015
"276","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.75,0.015
"277","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.75,0.015
"278","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.75,0.015
"279","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.75,0.015
"280","ABIE.BAL",0.18,1,1,0.8,0.015
"281","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.8,0.015
"282","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.8,0.015
"283","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.8,0.015
"284","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.8,0.015
"285","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.8,0.015
"286","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.8,0.015
"287","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.8,0.015
"288","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.8,0.015
"289","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.8,0.015
"290","ABIE.BAL",0.18,1,1,0.85,0.015
"291","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.85,0.015
